CIBUS,Crop,HI,SR_ratio,CAN_MP,CAN_HR,CAN_ST,CAN_R,CAN_RD,i_ag,i_bg,source,re,h_value_type
,silage_maize-sorghum,,,1,0,0.0505181347150259,0.187823834196891,0.0582901554404145,0.0505181347150259,0.246113989637306,Jacobs2020,,crop
,small_radish,,,1,0.119298245614035,0,0.0385964912280702,0.0116959064327485,0.119298245614035,0.0502923976608187,Jacobs2020,,crop
,spinach,,,1,0.281767955801105,0,0.427255985267035,0.132596685082873,0.281767955801105,0.559852670349908,Jacobs2020,,crop
"Barley, spring",spring_barley,,,1,0.635071090047393,0.111374407582938,0.4739336492891,0.146919431279621,0.746445497630331,0.620853080568721,Jacobs2020,spring_cereals,crop
Strawberries,strawberries,,,1,1,0,1,0.311258278145695,1,1.3112582781457,Jacobs2020,none,crop
Sugar beet,sugar_beet,,,1,0.214467005076142,0,0.0418781725888325,0.0126903553299492,0.214467005076142,0.0545685279187817,Jacobs2020,root_crops,crop
,sunflower-‘other’_oil_crops,,,1,1.43560606060606,0.253787878787879,0.840909090909091,0.261363636363636,1.68939393939394,1.10227272727273,Jacobs2020,,crop
,tobacco,,,1,0.493562231759657,0,0.497854077253219,0.15450643776824,0.493562231759657,0.652360515021459,Jacobs2020,,crop
,white_cabbage_&_‘other_vegetables’,,,1,0.546666666666667,0,0.515555555555556,0.16,0.546666666666667,0.675555555555556,Jacobs2020,,crop
"Barley, winter",winter_barley,,,1,0.628378378378378,0.11036036036036,0.391891891891892,0.121621621621622,0.738738738738738,0.513513513513514,Jacobs2020,winter_cereals,crop
Rye,winter_rye,,,1,0.762376237623762,0.133663366336634,0.440594059405941,0.136138613861386,0.896039603960396,0.576732673267327,Jacobs2020,winter_cereals,crop
"Triticale, winter",winter_triticale,,,1,0.774346793349169,0.137767220902613,0.353919239904988,0.109263657957245,0.912114014251782,0.463182897862233,Jacobs2020,winter_cereals,crop
"Wheat, winter",winter_wheat,,,1,0.6810551558753,0.119904076738609,0.455635491606715,0.141486810551559,0.800959232613909,0.597122302158274,Jacobs2020,winter_cereals,crop
"Cucumbers, greenhouse",,,,,,,,,0,0,none,,crop
Currants,,,,,,,,,0,0,none,,crop
generic_annual_crop,generic_annual_crop,,,,,,,,,,,winter_cereals,crop
