crop,prod_system,region,area
"Barley, spring",organic,1322,66.72415067499246
"Barley, spring",organic,1331,87.20872880167191
"Barley, spring",organic,1411,24.390319654211055
"Barley, spring",organic,1412,94.83945509718089
"Barley, spring",organic,1421,53.78907267640538
"Barley, spring",organic,1511,184.16491777468156
"Barley, spring",organic,1512,270.072747550478
"Barley, spring",organic,1521,69.50693730187135
"Barley, spring",organic,1522,85.58219612049508
"Barley, spring",organic,1611,92.77564181077634
"Barley, spring",organic,1612,387.01117617350474
"Barley, spring",organic,1613,199.44090579308477
"Barley, spring",organic,1614,131.3531993101656
"Barley, spring",organic,1615,229.2047933523231
"Barley, spring",organic,1616,175.05461847001396
"Barley, spring",organic,1617,78.10041447050122
"Barley, spring",organic,1621,358.83283774718785
"Barley, spring",organic,1622,403.1501036210663
"Barley, spring",organic,1623,279.04565765882603
"Barley, spring",organic,1711,212.26655797229768
"Barley, spring",organic,1712,148.18141641279323
"Barley, spring",organic,1713,100.21894412001231
"Barley, spring",organic,1721,42.518544369090634
"Barley, spring",organic,1722,160.3782611949639
"Barley, spring",organic,1723,9.733630800254643
"Barley, spring",organic,1724,35.25603108476464
"Barley, spring",organic,1811,99.65806919597682
"Barley, spring",organic,1812,453.9881087404048
"Barley, spring",organic,1813,40.75428169334083
"Barley, spring",organic,1821,189.47487786227703
"Barley, spring",organic,1911,362.0401911623223
"Barley, spring",organic,1912,75.10297468881967
"Barley, spring",organic,1921,456.34946391938445
"Barley, spring",organic,1922,166.4474814860244
"Barley, spring",organic,2011,685.1709632334373
"Barley, spring",organic,2012,140.04638925577765
"Barley, spring",organic,2019,0.0
"Barley, spring",organic,2111,729.4643632329542
"Barley, spring",organic,2121,445.022269764239
"Barley, spring",organic,2122,63.41385534373367
"Barley, spring",organic,2211,128.9241704754996
"Barley, spring",organic,2212,268.2739232438836
"Barley, spring",organic,2221,281.56846011240043
"Barley, spring",organic,2311,540.0012693169533
"Barley, spring",organic,2312,60.08021888748068
"Barley, spring",organic,2319,0.0
"Barley, spring",organic,2331,20.992942275128602
"Barley, spring",organic,2411,198.53851899788432
"Barley, spring",organic,2412,119.81116319572487
"Barley, spring",organic,2413,242.0952320307591
"Barley, spring",organic,2414,80.23169145284935
"Barley, spring",organic,2415,1.1761171359922755
"Barley, spring",organic,2419,0.0
"Barley, spring",organic,2511,262.4086264577044
"Barley, spring",organic,2512,50.10204417321273
"Barley, spring",organic,2519,0.0
"Barley, spring",organic,2521,0.0
"Barley, spring",organic,311,579.4077668735316
"Barley, spring",organic,312,168.32152565345967
"Barley, spring",organic,321,466.8846987413316
"Barley, spring",organic,322,54.787949380062614
"Barley, spring",organic,411,339.5200991004528
"Barley, spring",organic,421,215.70074068473846
"Barley, spring",organic,422,261.1012669725008
"Barley, spring",organic,431,192.76288702224485
"Barley, spring",organic,511,56.01758117020121
"Barley, spring",organic,512,66.70209383411371
"Barley, spring",organic,513,549.2661548601523
"Barley, spring",organic,514,377.81761724390856
"Barley, spring",organic,515,223.99945942461926
"Barley, spring",organic,521,109.37976911403685
"Barley, spring",organic,611,133.60621193089293
"Barley, spring",organic,612,278.3115722044367
"Barley, spring",organic,621,172.7919138622293
"Barley, spring",organic,622,271.9760661529563
"Barley, spring",organic,711,105.76886221952641
"Barley, spring",organic,731,13.53959992305984
"Barley, spring",organic,811,159.70375890794801
"Barley, spring",organic,812,123.81328254872027
"Barley, spring",organic,813,53.071805402784015
"Barley, spring",organic,814,42.40408266958067
"Barley, spring",organic,821,125.7207691544369
"Barley, spring",organic,831,37.309873311661235
"Barley, spring",organic,911,169.78939672222634
"Barley, spring",organic,912,449.92240624801485
"Barley, spring",organic,913,168.7793798411874
"Barley, winter",conventional,1011,297.2287105679484
"Barley, winter",conventional,111,68.93587790822639
"Barley, winter",conventional,1111,576.3207515627021
"Barley, winter",conventional,1112,145.0935074674847
"Barley, winter",conventional,112,61.70959578100882
"Barley, winter",conventional,1121,886.7375758004955
"Barley, winter",conventional,1122,559.9139426706411
"Barley, winter",conventional,1123,485.7688796322264
"Barley, winter",conventional,1124,64.22944287706929
"Barley, winter",conventional,1131,0.0
