region,animal,prod_system,number
612,slaktkycklingar,conventional,1910.6293356501849
612,kalkoner,conventional,0.0
612,hästar,conventional,4764.982334207452
621,kor för mjölkproduktion,conventional,5058.47137491203
621,kor för uppfödning av kalvar,conventional,3107.5914358319515
621,"kvigor, tjurar och stutar",conventional,7751.361573135914
621,"kalvar, under 1 år",conventional,7531.32836414912
621,baggar och tackor,conventional,2844.3232659514274
621,lamm,conventional,2445.8642020961706
621,galtar för avel,conventional,11.39062344487155
621,suggor för avel,conventional,867.4534646004375
621,"slaktgrisar, 20 kg och däröver",conventional,1614.9147042049083
621,"smågrisar, under 20 kg",conventional,2130.8191642623597
621,höns,conventional,79900.80217620727
621,värpkycklingar,conventional,83.22100324251718
621,slaktkycklingar,conventional,0.0
621,kalkoner,conventional,0.0
621,hästar,conventional,3888.8340000800063
622,kor för mjölkproduktion,conventional,9012.253059166167
622,kor för uppfödning av kalvar,conventional,4717.488124810174
622,"kvigor, tjurar och stutar",conventional,13021.067873035707
622,"kalvar, under 1 år",conventional,12246.86823541818
622,baggar och tackor,conventional,4122.850194297131
622,lamm,conventional,4335.797468459317
622,galtar för avel,conventional,2.8057851784128367
622,suggor för avel,conventional,106.347664766645
622,"slaktgrisar, 20 kg och däröver",conventional,790.7386721737515
622,"smågrisar, under 20 kg",conventional,554.8260500434835
622,höns,conventional,10287.692391959372
622,värpkycklingar,conventional,0.0
622,slaktkycklingar,conventional,18.732735353308556
622,kalkoner,conventional,0.0
622,hästar,conventional,6951.619294364306
711,kor för mjölkproduktion,conventional,4855.520119424713
711,kor för uppfödning av kalvar,conventional,2526.4281298398355
711,"kvigor, tjurar och stutar",conventional,7993.596509973589
711,"kalvar, under 1 år",conventional,7273.580749811948
711,baggar och tackor,conventional,3501.018952389181
711,lamm,conventional,3460.1604278126797
711,galtar för avel,conventional,5.843401315666298
711,suggor för avel,conventional,226.6759058677392
711,"slaktgrisar, 20 kg och däröver",conventional,2180.51527506426
711,"smågrisar, under 20 kg",conventional,510.5464593225338
711,höns,conventional,51136.71964140218
711,värpkycklingar,conventional,0.0
711,slaktkycklingar,conventional,174917.35122050613
711,kalkoner,conventional,0.0
711,hästar,conventional,5793.840152076283
731,kor för mjölkproduktion,conventional,2449.919401035204
731,kor för uppfödning av kalvar,conventional,2677.4078827525627
731,"kvigor, tjurar och stutar",conventional,5097.974028934263
731,"kalvar, under 1 år",conventional,4853.4492545869
731,baggar och tackor,conventional,2995.874773540981
731,lamm,conventional,2585.4398063930757
731,galtar för avel,conventional,7.747934186774735
731,suggor för avel,conventional,496.1463268592604
731,"slaktgrisar, 20 kg och däröver",conventional,4002.296703230714
731,"smågrisar, under 20 kg",conventional,1595.2995273830204
731,höns,conventional,41239.150311133635
731,värpkycklingar,conventional,1418.9227583480965
731,slaktkycklingar,conventional,155646.46545123516
731,kalkoner,conventional,0.0
731,hästar,conventional,4644.729594347446
811,kor för mjölkproduktion,conventional,8739.969645022667
811,kor för uppfödning av kalvar,conventional,2199.1325711727254
811,"kvigor, tjurar och stutar",conventional,12221.398594670562
811,"kalvar, under 1 år",conventional,10958.17553958837
811,baggar och tackor,conventional,2972.249747328942
811,lamm,conventional,2916.1762027929863
811,galtar för avel,conventional,18.56830142753841
811,suggor för avel,conventional,2958.813271884407
811,"slaktgrisar, 20 kg och däröver",conventional,27487.162888571303
811,"smågrisar, under 20 kg",conventional,13660.968196540676
811,höns,conventional,136314.93820899737
811,värpkycklingar,conventional,64333.62399210032
811,slaktkycklingar,conventional,1492130.1328715568
811,kalkoner,conventional,0.0
811,hästar,conventional,4193.843503595629
812,kor för mjölkproduktion,conventional,11382.636307524717
812,kor för uppfödning av kalvar,conventional,1733.7878672570898
812,"kvigor, tjurar och stutar",conventional,11716.238464036813
812,"kalvar, under 1 år",conventional,10812.290003293387
812,baggar och tackor,conventional,3820.7032496550296
812,lamm,conventional,3993.9874605111645
812,galtar för avel,conventional,17.017465114163898
812,suggor för avel,conventional,780.0467504898056
812,"slaktgrisar, 20 kg och däröver",conventional,4245.893406109107
812,"smågrisar, under 20 kg",conventional,2127.8818944148093
812,höns,conventional,31319.38395311984
812,värpkycklingar,conventional,20181.498021594358
812,slaktkycklingar,conventional,103836.91611045416
812,kalkoner,conventional,0.0
812,hästar,conventional,1732.72622056564
813,kor för mjölkproduktion,conventional,3126.410749839466
813,kor för uppfödning av kalvar,conventional,1685.2451754560054
813,"kvigor, tjurar och stutar",conventional,5347.114685346514
813,"kalvar, under 1 år",conventional,4914.728573883133
813,baggar och tackor,conventional,2196.729273631165
813,lamm,conventional,2053.79920942237
813,galtar för avel,conventional,8.987153289991099
813,suggor för avel,conventional,1216.3369629741987
813,"slaktgrisar, 20 kg och däröver",conventional,3213.878066820833
813,"smågrisar, under 20 kg",conventional,1410.295301928843
813,höns,conventional,994646.4826303422
813,värpkycklingar,conventional,375065.3381366544
813,slaktkycklingar,conventional,300339.7833364047
813,kalkoner,conventional,0.0
813,hästar,conventional,1367.3257835991142
814,kor för mjölkproduktion,conventional,4785.009469285484
814,kor för uppfödning av kalvar,conventional,2294.202820627853
814,"kvigor, tjurar och stutar",conventional,6269.544833909396
814,"kalvar, under 1 år",conventional,6148.65939191403
814,baggar och tackor,conventional,2584.626867964644
814,lamm,conventional,2432.847213101001
814,galtar för avel,conventional,1.2053033562592854
814,suggor för avel,conventional,90.00146262010455
814,"slaktgrisar, 20 kg och däröver",conventional,1012.805890975917
814,"smågrisar, under 20 kg",conventional,244.57892303315955
814,höns,conventional,11652.466443531739
814,värpkycklingar,conventional,3522.491537130756
814,slaktkycklingar,conventional,140247.57048642152
814,kalkoner,conventional,0.0
814,hästar,conventional,2320.623483306694
821,kor för mjölkproduktion,conventional,4975.067842585442
821,kor för uppfödning av kalvar,conventional,2496.957397182331
821,"kvigor, tjurar och stutar",conventional,6687.270076590774
821,"kalvar, under 1 år",conventional,6270.001256974783
821,baggar och tackor,conventional,4140.927279676163
821,lamm,conventional,4145.856461347385
821,galtar för avel,conventional,11.170099849915058
821,suggor för avel,conventional,845.4222696650519
821,"slaktgrisar, 20 kg och däröver",conventional,4889.864137774378
821,"smågrisar, under 20 kg",conventional,2538.4861295230894
821,höns,conventional,2575.3026666896835
821,värpkycklingar,conventional,0.0
821,slaktkycklingar,conventional,158878.01530018216
821,kalkoner,conventional,0.0
821,hästar,conventional,3330.9013611288856
831,kor för mjölkproduktion,conventional,3731.592741678235
831,kor för uppfödning av kalvar,conventional,3373.2062744536765
831,"kvigor, tjurar och stutar",conventional,7924.477651332953
831,"kalvar, under 1 år",conventional,7075.655772213891
831,baggar och tackor,conventional,5497.49764405379
831,lamm,conventional,5141.0829216310185
831,galtar för avel,conventional,3.4734077025822727
831,suggor för avel,conventional,322.45138393593464
831,"slaktgrisar, 20 kg och däröver",conventional,2098.290835613786
831,"smågrisar, under 20 kg",conventional,524.0431713121241
831,höns,conventional,81191.93625052819
831,värpkycklingar,conventional,9546.419852594845
831,slaktkycklingar,conventional,404083.7981724233
831,kalkoner,conventional,0.0
831,hästar,conventional,6120.734300387271
911,kor för mjölkproduktion,conventional,2962.144240690411
911,kor för uppfödning av kalvar,conventional,824.1936216449325
911,"kvigor, tjurar och stutar",conventional,4136.461905866607
911,"kalvar, under 1 år",conventional,3740.4843337639004
911,baggar och tackor,conventional,6150.043758740965
911,lamm,conventional,6361.372110561066
911,galtar för avel,conventional,6.576798688548828
911,suggor för avel,conventional,906.7487377630574
911,"slaktgrisar, 20 kg och däröver",conventional,6536.164695735663
911,"smågrisar, under 20 kg",conventional,2759.330608804093
911,höns,conventional,45675.65010456095
911,värpkycklingar,conventional,14553.559076910555
911,slaktkycklingar,conventional,4608.850694158978
911,kalkoner,conventional,0.0
911,hästar,conventional,1423.5695660898575
912,kor för mjölkproduktion,conventional,5967.851985398896
912,kor för uppfödning av kalvar,conventional,1660.5084498317283
912,"kvigor, tjurar och stutar",conventional,8333.757707794544
912,"kalvar, under 1 år",conventional,7535.979021873505
912,baggar och tackor,conventional,12390.534651120768
912,lamm,conventional,12816.299307229046
912,galtar för avel,conventional,13.274206001516951
912,suggor för avel,conventional,1828.5817268161954
912,"slaktgrisar, 20 kg och däröver",conventional,13181.111029576985
912,"smågrisar, under 20 kg",conventional,5563.873838110354
912,höns,conventional,92577.13053995372
912,värpkycklingar,conventional,29497.702504502275
912,slaktkycklingar,conventional,9129.725019803944
912,kalkoner,conventional,0.0
912,hästar,conventional,2868.0752087084893
913,kor för mjölkproduktion,conventional,3346.6437333310387
913,kor för uppfödning av kalvar,conventional,931.1776182399987
913,"kvigor, tjurar och stutar",conventional,4673.3930526639315
913,"kalvar, under 1 år",conventional,4226.015831118404
913,baggar och tackor,conventional,6948.3467827700715
913,lamm,conventional,7187.106494258354
913,galtar för avel,conventional,7.364046083534682
913,suggor för avel,conventional,1019.5831384505356
913,"slaktgrisar, 20 kg och däröver",conventional,7349.378432744738
913,"smågrisar, under 20 kg",conventional,3104.6179310728157
913,höns,conventional,50063.04199912009
913,värpkycklingar,conventional,15951.506713886807
913,slaktkycklingar,conventional,5145.579491199589
913,kalkoner,conventional,0.0
913,hästar,conventional,1608.3552252016534
1011,kor för mjölkproduktion,conventional,2526.7877393192093
1011,kor för uppfödning av kalvar,conventional,3102.434203159858
1011,"kvigor, tjurar och stutar",conventional,5658.64573079502
1011,"kalvar, under 1 år",conventional,5367.868805015311
1011,baggar och tackor,conventional,5052.252173524526
1011,lamm,conventional,4559.005786187408
1011,galtar för avel,conventional,19.239682861257727
1011,suggor för avel,conventional,1879.2574335374893
1011,"slaktgrisar, 20 kg och däröver",conventional,21209.060985091382
1011,"smågrisar, under 20 kg",conventional,7213.087837402317
1011,höns,conventional,56524.01515106772
1011,värpkycklingar,conventional,32251.161501694634
1011,slaktkycklingar,conventional,1433956.2896973623
1011,kalkoner,conventional,0.0
1011,hästar,conventional,5169.006104285762
1111,kor för mjölkproduktion,conventional,3174.0499124018165
1111,kor för uppfödning av kalvar,conventional,2792.609112436032
1111,"kvigor, tjurar och stutar",conventional,5742.1153092312015
1111,"kalvar, under 1 år",conventional,5454.565027061934
1111,baggar och tackor,conventional,1836.260481368405
1111,lamm,conventional,1929.3264705359766
1111,galtar för avel,conventional,44.40444570470334
1111,suggor för avel,conventional,6172.85933022213
1111,"slaktgrisar, 20 kg och däröver",conventional,38034.35045246406
1111,"smågrisar, under 20 kg",conventional,20671.641234449584
1111,höns,conventional,9538.190353192116
1111,värpkycklingar,conventional,12192.111360891482
1111,slaktkycklingar,conventional,175024.02980044048
1111,kalkoner,conventional,59.49986979597882
1111,hästar,conventional,3949.9705206846556
1112,kor för mjölkproduktion,conventional,3549.853857653189
1112,kor för uppfödning av kalvar,conventional,3084.5625815021585
1112,"kvigor, tjurar och stutar",conventional,6480.2646592174515
1112,"kalvar, under 1 år",conventional,6295.579170376292
1112,baggar och tackor,conventional,1609.7694639749309
1112,lamm,conventional,1778.025967015263
1112,galtar för avel,conventional,26.894693523003394
1112,suggor för avel,conventional,2982.6655497388274
1112,"slaktgrisar, 20 kg och däröver",conventional,22989.51294440085
1112,"smågrisar, under 20 kg",conventional,10383.067288450591
1112,höns,conventional,45172.78884379835
1112,värpkycklingar,conventional,1771.713561541565
1112,slaktkycklingar,conventional,26120.578156181757
1112,kalkoner,conventional,0.0
1112,hästar,conventional,3650.531171417779
1121,kor för mjölkproduktion,conventional,2921.6538692537733
1121,kor för uppfödning av kalvar,conventional,2446.3936208302857
1121,"kvigor, tjurar och stutar",conventional,5321.363036522246
1121,"kalvar, under 1 år",conventional,5280.182605283202
1121,baggar och tackor,conventional,2527.475868469132
1121,lamm,conventional,2541.9030106150817
1121,galtar för avel,conventional,57.99469103975256
1121,suggor för avel,conventional,7465.33275275462
1121,"slaktgrisar, 20 kg och däröver",conventional,33268.3601203666
1121,"smågrisar, under 20 kg",conventional,19318.222402563937
1121,höns,conventional,118215.61380414081
1121,värpkycklingar,conventional,3466.486453889321
1121,slaktkycklingar,conventional,521130.17703684507
1121,kalkoner,conventional,18246.64414870257
1121,hästar,conventional,3330.861674318858
1122,kor för mjölkproduktion,conventional,4389.640319096356
1122,kor för uppfödning av kalvar,conventional,2811.683095110152
1122,"kvigor, tjurar och stutar",conventional,8063.730115428352
1122,"kalvar, under 1 år",conventional,7857.869131893416
1122,baggar och tackor,conventional,2634.0198625081084
1122,lamm,conventional,2561.4271229304154
1122,galtar för avel,conventional,37.73770849029833
1122,suggor för avel,conventional,3711.106501770919
1122,"slaktgrisar, 20 kg och däröver",conventional,26873.993718763508
1122,"smågrisar, under 20 kg",conventional,11612.971068534876
1122,höns,conventional,77158.99984246808
1122,värpkycklingar,conventional,22.986872767989713
1122,slaktkycklingar,conventional,278488.66253603925
1122,kalkoner,conventional,10490.594940604435
1122,hästar,conventional,4495.390073014198
1123,kor för mjölkproduktion,conventional,2004.2356984514258
1123,kor för uppfödning av kalvar,conventional,1088.3194525402614
1123,"kvigor, tjurar och stutar",conventional,2429.8586451483025
1123,"kalvar, under 1 år",conventional,2544.091606407782
1123,baggar och tackor,conventional,1080.694557218218
1123,lamm,conventional,996.9027198519923
1123,galtar för avel,conventional,19.052432804772206
1123,suggor för avel,conventional,1372.8964833232146
1123,"slaktgrisar, 20 kg och däröver",conventional,12903.708825726437
