f_species,f_breed,f_prod_system,f_region,x0_animals
poultry,broiler,conventional,1011,1433956.2896973623
cattle,dairy,conventional,1111,3174.0499124018165
cattle,beef,conventional,1111,2792.609112436032
sheep,none,conventional,1111,1836.260481368405
pigs,none,conventional,1111,6172.85933022213
poultry,layer,conventional,1111,9538.190353192116
poultry,broiler,conventional,1111,175024.02980044048
cattle,dairy,conventional,1112,3549.853857653189
cattle,beef,conventional,1112,3084.5625815021585
sheep,none,conventional,1112,1609.7694639749309
pigs,none,conventional,1112,2982.6655497388274
poultry,layer,conventional,1112,45172.78884379835
poultry,broiler,conventional,1112,26120.57815618176
cattle,dairy,conventional,1121,2921.6538692537733
cattle,beef,conventional,1121,2446.3936208302857
sheep,none,conventional,1121,2527.475868469132
pigs,none,conventional,1121,7465.33275275462
poultry,layer,conventional,1121,118215.6138041408
poultry,broiler,conventional,1121,521130.17703684507
cattle,dairy,conventional,1122,4389.640319096356
cattle,beef,conventional,1122,2811.683095110152
sheep,none,conventional,1122,2634.0198625081084
pigs,none,conventional,1122,3711.106501770919
poultry,layer,conventional,1122,77158.99984246808
poultry,broiler,conventional,1122,278488.66253603925
cattle,dairy,conventional,1123,2004.2356984514256
cattle,beef,conventional,1123,1088.3194525402614
sheep,none,conventional,1123,1080.694557218218
pigs,none,conventional,1123,1372.8964833232146
poultry,layer,conventional,1123,177180.15969038248
poultry,broiler,conventional,1123,286525.7008800665
cattle,dairy,conventional,1124,2470.234472480168
cattle,beef,conventional,1124,1680.28429093706
sheep,none,conventional,1124,1778.235376770982
pigs,none,conventional,1124,730.1614445683949
poultry,layer,conventional,1124,33455.08086039436
poultry,broiler,conventional,1124,93045.38625804055
cattle,dairy,conventional,1131,2492.1992982835827
cattle,beef,conventional,1131,2191.477562521906
sheep,none,conventional,1131,1894.8948344748585
pigs,none,conventional,1131,929.6061180106402
poultry,layer,conventional,1131,128885.15279295293
poultry,broiler,conventional,1131,23631.897918944167
cattle,dairy,conventional,1211,264.9325307289063
cattle,beef,conventional,1211,430.87188465095534
sheep,none,conventional,1211,2005.267535802642
pigs,none,conventional,1211,5228.747819404653
poultry,layer,conventional,1211,67826.94339622674
poultry,broiler,conventional,1211,25.937158213849983
cattle,dairy,conventional,1212,596.8468343002944
cattle,beef,conventional,1212,952.3702049731896
sheep,none,conventional,1212,854.3345405462402
pigs,none,conventional,1212,3194.2329509787705
poultry,layer,conventional,1212,209413.6416472775
poultry,broiler,conventional,1212,56038.58402384566
cattle,dairy,conventional,1213,1439.0429392811936
cattle,beef,conventional,1213,1847.234492954549
sheep,none,conventional,1213,1477.5568347944254
pigs,none,conventional,1213,818.3181935400764
poultry,layer,conventional,1213,109650.55902710384
poultry,broiler,conventional,1213,81420.60105052132
cattle,dairy,conventional,1214,236.9796055180276
cattle,beef,conventional,1214,988.9165613918614
sheep,none,conventional,1214,589.1898172013471
pigs,none,conventional,1214,500.0898902920211
poultry,layer,conventional,1214,35426.35993407093
poultry,broiler,conventional,1214,137345.0217032857
cattle,dairy,conventional,1215,5037.535259827261
cattle,beef,conventional,1215,4050.9174451934223
sheep,none,conventional,1215,3872.7811525073953
pigs,none,conventional,1215,4443.000824579636
poultry,layer,conventional,1215,143102.91994713212
poultry,broiler,conventional,1215,28756.5395639928
cattle,dairy,conventional,1216,1128.4301139577544
cattle,beef,conventional,1216,1043.3187381253215
sheep,none,conventional,1216,1015.772424387616
pigs,none,conventional,1216,2946.737569717074
poultry,layer,conventional,1216,253588.8543179482
poultry,broiler,conventional,1216,16529.003331983236
cattle,dairy,conventional,1221,3106.254497402138
cattle,beef,conventional,1221,2786.4430789699445
sheep,none,conventional,1221,2240.427493046114
pigs,none,conventional,1221,2386.1717257620817
poultry,layer,conventional,1221,58905.99703022056
poultry,broiler,conventional,1221,26618.23510764285
cattle,dairy,conventional,1222,1121.4409779325056
cattle,beef,conventional,1222,816.3444509051823
sheep,none,conventional,1222,1223.545636575567
pigs,none,conventional,1222,660.1145443932786
poultry,layer,conventional,1222,23494.06036228223
poultry,broiler,conventional,1222,100446.17048962312
cattle,dairy,conventional,1311,7471.822332471995
cattle,beef,conventional,1311,2006.2772708095456
sheep,none,conventional,1311,3350.149268745696
pigs,none,conventional,1311,5654.162225722557
poultry,layer,conventional,1311,338316.12585326866
poultry,broiler,conventional,1311,256652.676558468
cattle,dairy,conventional,1321,7015.939110450209
cattle,beef,conventional,1321,1802.6017606707192
sheep,none,conventional,1321,2754.968304179276
pigs,none,conventional,1321,3537.781750049221
poultry,layer,conventional,1321,214137.66192711427
poultry,broiler,conventional,1321,199566.25759440364
cattle,dairy,conventional,1322,3025.804927369859
cattle,beef,conventional,1322,1339.1310029646534
sheep,none,conventional,1322,1982.7591817125408
pigs,none,conventional,1322,1050.6513382972614
poultry,layer,conventional,1322,121785.31385337208
poultry,broiler,conventional,1322,39374.98257608092
cattle,dairy,conventional,1331,4284.952275015731
cattle,beef,conventional,1331,1670.6237424032397
