cols_as_filter: f_feed_par,,,,,,,,,,,,,,
f_feed,f_species,f_animal,GE,ASH,N,P,K,ME,AAT,PBV,DE,fat,NE,AME
sugar beet pulp,horses,,,,,,,12.3,,,14.7,32,,
whey,horses,,,,,,,13.6,,,15.1,10,,
whey powder,horses,,,,,,,12.3,,,15.40488174,13,,
potatoe protein,horses,,,,,,,15.5,,,19.7,33,,
potatoe offals,horses,,,,,,,13.1,,,14.9,10,,
fish meal,horses,,,,,,,14.8,,,21.75054492,110,,
minerals,horses,,,,,,,0,,,0,0,,
,,,,,,,,,,,,,,
"ley silage, 1st cut",pigs,,,,,,,,,,,,,
"ley silage, regrowth",pigs,,,,,,,,,,,,,
other silage,pigs,,,,,,,,,,,,,
hay,pigs,,,,,,,,,,,,,
maize silage,pigs,,,,,,,,,,,,,
grazing,pigs,,,,,,,,,,,,,
wheat,pigs,,,,,,,,,,15.9,,12.1,
barley,pigs,,,,,,,,,,14.8,,11,
oats,pigs,,,,,,,,,,12.7,,9,
triticale,pigs,,,,,,,,,,15.6,,11.9,
rye,pigs,,,,,,,,,,15.1,,11.3,
maize,pigs,,,,,,,,,,16.5,,12.8,
peas,pigs,,,,,,,,,,16.1,,11.2,
broad beans,pigs,,,,,,,,,,15.5,,10.7,
rapeseed,pigs,,,,,,,,,,23.5,,18,
linseed,pigs,,,,,,,,,,20.9,,17.3,
vegetable oils,pigs,,,,,,,,,,34.5,,29.8,
straw,pigs,,,,,,,,,,,,,
soybeans,pigs,,,,,,,,,,,,,
soybean meal,pigs,,,,,,,,,,16.8,,9.3,
soybean protein concentrate,pigs,,,,,,,,,,17.3,,9.7,
rapeseed meal,pigs,,,,,,,,,,13.3,,7.1,
rapeseed cake,pigs,,,,,,,,,,14.3,,9.7,
sunflower seed meal,pigs,,,,,,,,,,10.3,,5.9,
palm kernel expeller,pigs,,,,,,,,,,8.4,,5.4,
luzern meal,pigs,,,,,,,,,,,,,
wheat bran,pigs,,,,,,,,,,10.8,,7.2,
"wheat bran, fine",pigs,,,,,,,,,,17.5,,8.7,
oat hulls,pigs,,,,,,,,,,,,,
